Key,Title,Category,Frame,Icon,Description
"blazeandcave:enchanting/unbreakable","Unbreakable","enchanting","goal","bedrock","Obtain Mending on an item"
"blazeandcave:monsters/termite_control","Termite Control","monsters","task","cracked_stone_bricks","Kill a silverfish"
"blazeandcave:monsters/ricochet_swoop","Ricochet Swoop","monsters","task","shield","Deflect a Phantom's swoop with your shield"
"blazeandcave:biomes/top_of_the_world","Top of the World","biomes","goal","light_blue_dye","Place scaffolding to the world limit"
"blazeandcave:potion/hyper_healing","Hyper-Healing","potion","task","ghast_tear","Brew and drink a regeneration potion"
"blazeandcave:monsters/the_phantom_menace","The Phantom Menace","monsters","task","phantom_membrane","Get attacked by phantoms"
"blazeandcave:end/divers_dozen","Diver's Dozen","end","challenge","tipped_arrow","Kill 12 mobs while airborne using Elytra. Stopping flight or touching liquid will reset your progress"
"blazeandcave:challenges/explorer_of_worlds","Explorer of Worlds","challenges","challenge","netherite_boots","Discover every biome in every dimension"
"blazeandcave:mining/youll_never_take_me_alive_copper","Coppers and Robbers","mining","task","copper_ingot","Smelt a Copper Ingot"
"blazeandcave:statistics/pirate_captain","Pirate Captain","statistics","goal","spruce_boat","Sail 10km in a boat"
"blazeandcave:building/elmer_mudd","Elmer Mudd","building","task","mud_bricks","Craft or obtain all forms of Mud and Mud Brick"
"blazeandcave:adventure/vexingly_hard_to_find","Vexingly Hard to Find","adventure","goal","vex_armor_trim_smithing_template","Find the Vex Smithing Template in a Woodland Mansion"
"blazeandcave:adventure/allayance","Allayance","adventure","task","allay_spawn_egg","Rescue an Allay from a Pillager Outpost or Woodland Mansion and give it something to play with"
"blazeandcave:mining/gold_mine","Gold Mine!","mining","task","gold_ore","Find a mineshaft on the surface of a mesa biome"
"blazeandcave:challenges/were_in_the_endgame_now","We're in the endgame now","challenges","challenge","end_stone","Construct a village in the End and defend it from a raid"
"blazeandcave:end/extrabiologist","Extrabiologist","end","task","chorus_flower","Plant a chorus plant in the overworld for study"
"blazeandcave:farming/olaf","Olaf","farming","task","snow_block","Do you want to build a snow golem?"
"blazeandcave:nether/giant_floating_jellyfish","Giant Floating Jellyfish","nether","task","gunpowder","Shoot down a ghast"
"blazeandcave:animal/milk_does_your_body_good","Milk does your body good","animal","task","milk_bucket","Take a swig swig swig swig"
"blazeandcave:statistics/who_needs_elytra","Who Needs Elytra?","statistics","goal","brown_harness","Ride 1km on a Happy Ghast"
"blazeandcave:mining/bulldozer","Bulldozer","mining","challenge","stone","Destroy a total of 10,000 blocks of stone"
"blazeandcave:statistics/this_ride_is_lit_yo","This Ride Is Lit, Yo!","statistics","challenge","strider_spawn_egg","Ride 10km on a Strider"
"blazeandcave:farming/vegetarian","Vegetarian","farming","goal","carrot","Eat every type of fruit, vegetables, and any sort of plant matter"
"blazeandcave:challenges/zombie_apocalypse","Zombie Apocalypse","challenges","challenge","zombie_head","Obtain a stack of Zombie Heads"
"blazeandcave:farming/squid_game","Squid Game","farming","goal","squid_spawn_egg","Hunt enough Squids to collect a stack of Ink Sacs"
"blazeandcave:mining/copper_miner","Copper Miner","mining","task","raw_copper","Mine a stack of Raw Copper"
"blazeandcave:statistics/global_railway_network","Global Railway Network","statistics","challenge","command_block_minecart","Ride 50km in a minecart"
"blazeandcave:mining/bling_bling_gone","Bling Bling Gone","mining","goal","golden_pickaxe","Completely use up a golden pickaxe, and then seriously reevaluate your life choices"
"blazeandcave:end/somewhere_over_the_rainbow","Somewhere Over The Rainbow...","end","goal","lime_shulker_box","Craft all 16 shulker box types"
"blazeandcave:animal/poacher","Poacher","animal","task","seagrass","Kill a turtle for their shells only to find they don't actually drop any when killed"
"blazeandcave:adventure/awards_ceremony","Awards Ceremony","adventure","challenge","gold_block","Have an Allay present to you a trophy awarded from completing one of the advancements"
"blazeandcave:nether/stem_research","Stem Research","nether","task","crimson_stem","Attack a huge Nether Fungi until a stem pops out"
"blazeandcave:monsters/custom_boss_fight","Custom Boss Fight!","monsters","challenge","diamond_helmet","Give a zombie full diamond armor and a diamond sword... then kill it"
"blazeandcave:biomes/free_diver","Free Diver","biomes","goal","tube_coral_fan","Stay underwater for 2 minutes"
"blazeandcave:adventure/treasure_map","Treasure Map","adventure","goal","filled_map","Trade for an Explorer Map"
"blazeandcave:animal/the_high_road","The High Road","animal","goal","iron_sword","Kill a hostile monster with a melee attack while riding a Camel"
"blazeandcave:building/the_jungler","The Jungler","building","goal","jungle_sapling","Craft every item made out of jungle wood"
"blazeandcave:challenges/im_in_space","I'm in Space!","challenges","challenge","shulker_shell","Levitate up a distance of 256 blocks"
"blazeandcave:mining/fallen_kingdom","Fallen Kingdom","mining","task","reinforced_deepslate","Find and enter an Ancient City deep underground"
"blazeandcave:biomes/tarzan","Tarzan","biomes","task","vine","Swing (or climb) on some vines"
"blazeandcave:farming/meat_lovers","Meat Lovers","farming","goal","porkchop","Eat every type of meat, even if uncooked or rotten"
"blazeandcave:animal/flashy_items","Flashy Items","animal","task","glow_item_frame","Put an item up for display in a Glowing Item Frame"
"blazeandcave:monsters/absolute_cinema","Absolute Cinema","monsters","challenge","player_head","Defeat a Chicken Jockey in a Woodland Mansion"
"blazeandcave:mining/rock_bottom","Rock Bottom","mining","goal","bedrock","Dig down to the bottom of the world"
"blazeandcave:redstone/calibration_sensation","Calibration Sensation","redstone","task","calibrated_sculk_sensor","Craft a Calibrated Sculk Sensor using Amethyst Shards"
"blazeandcave:weaponry/loser","Loser!","weaponry","task","black_banner","Die twice within ten seconds"
"blazeandcave:animal/mooshroom_kingdom","Mooshroom Kingdom","animal","task","mycelium","Find mooshrooms on a mushroom island"
"blazeandcave:potion/gas_bomb","Gas Bomb","potion","challenge","flint_and_steel","Ignite a Creeper of each possible effect using Flint and Steel"
"blazeandcave:building/fruit_of_the_looms","Fruit of the Looms","building","challenge","creeper_banner_pattern","Obtain all the special banner patterns"
"blazeandcave:statistics/spring_in_your_step","Spring in your step","statistics","task","oak_fence","Jump 1000 times"
"blazeandcave:mining/conductive_conglomerate","Conductive Conglomerate","mining","goal","waxed_weathered_lightning_rod","Collect a stack of every oxidizing stage of Lightning Rods, including all of their waxed variants"
"blazeandcave:building/creepers_and_withers","Creepers and Withers","building","task","chiseled_sandstone","Engrave sandstone with creeper and wither patterns"
"blazeandcave:biomes/fake_copper","Fake Copper","biomes","task","chiseled_resin_bricks","Craft all forms of Resin Blocks and Resin Bricks"
"blazeandcave:animal/so_good","So Good","animal","task","cooked_chicken","Can't beat it, can't beat it"
"blazeandcave:building/insomniac","Insomniac","building","challenge","phantom_spawn_egg","Go 30 days without sleep"
"blazeandcave:building/no_chain_no_gain","No Chain, No Gain","building","task","iron_chain","Craft an Iron Chain using an Iron Ingot and Iron Nuggets"
"blazeandcave:challenges/poglin","Poglin!","challenges","challenge","piglin_head","Obtain a stack of Piglin Heads"
"blazeandcave:building/glowing","Glowing!","building","task","glowstone","Light up the area with glowstone"
"blazeandcave:animal/not_the_bees","NOT THE BEES!","animal","task","spawner","Get stung to death by bees"
"blazeandcave:potion/a_much_more_doable_challenge","A Much More Doable Challenge","potion","challenge","glass_bottle","Get all the effects possible during your life (not all at the same time)"
"blazeandcave:adventure/overpowered","Overpowered","adventure","challenge","enchanted_golden_apple","Obtain a Notch Apple"
"blazeandcave:monsters/dead_dont_die","Dead Don't Die","monsters","task","rotten_flesh","Kill a zombie"
"blazeandcave:adventure/good_lookin_treasure","Good-Lookinâ€™ Treasure","adventure","task","sentry_armor_trim_smithing_template","Find a Smithing Template"
